ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
21601387	1466343	6	7
21601387	1466386	5	6
21601387	1466391	5	6
21601387	1466461	5	6
21601387	1466462	5	6
21601387	1510539	4	4
21601387	1510591	4	4
21601387	1510790	5	6
21601387	1510892	4	5
21601387	1510894	4	5
21601387	1511132	4	4
21601387	1511135	4	5
21601387	1511139	4	5
21601387	1511265	4	4
21601387	1511268	5	6
21601387	1511412	6	7
21601387	1511414	6	7
21601387	1525403	4	5
21601387	1525444	4	4
21601387	1525650	4	5
21601387	1525732	5	6
21601387	1536799	5	6
21601387	1536839	5	6
21601387	1536844	5	6
21601387	1536900	4	4
21601387	1536907	5	6
21601387	1536944	4	4
21601387	1536971	4	5
21601387	1536990	4	4
21601387	1536996	4	4
21601387	1536997	4	5
21601387	1537199	5	6
21601387	1537370	4	4
21601387	1537373	5	6
21601387	1537374	5	6
21601387	1537550	6	7
21601387	1537553	6	7
21601387	1537555	6	7
21601387	1537556	6	7
21601387	1537557	6	7
21601387	1537558	6	7
21601387	1537559	6	7
21601387	1537564	6	7
21601387	1537578	5	6
21601387	1537590	5	6
21601387	1559914	3	3
21601387	1559919	5	6
21601387	1559925	5	6
21601387	1559930	3	3
21601387	1559934	4	5
21601387	1559937	4	4
21601387	1560124	4	4
21601387	1560131	4	5
21601387	1592189	6	7
21601387	1592196	6	7
21601387	1592861	4	5
21601387	1592918	4	4
21601387	1592928	5	6
21601387	1593149	4	4
21601387	1593154	4	4
21601387	1593160	5	6
21601387	1593274	4	4
21601387	1593276	4	5
21601387	1593280	4	5
21601387	1593284	5	6
21601387	1593816	5	6
21601387	1593868	4	4
21601387	1593872	5	6
21601387	1594019	4	4
21601387	1594020	5	6
21601387	1594038	5	6
21601387	1594041	4	5
21601387	1594044	5	6
21601387	1594112	4	4
21601387	1594114	4	4
21601387	1594115	4	4
21601387	1594191	4	5
21601387	1594192	5	6
21601387	1594285	4	4
21601387	1594293	4	4
21601387	1594432	5	6
21601387	1594433	4	4
21601387	1594436	4	4
21601387	1594439	5	6
21601387	1718068	5	6
21601387	1718102	5	6
21601387	1718104	5	6
21601387	1718347	4	4
21601387	1718355	5	6
21601387	1718760	5	6
21601387	1718762	5	6
21601387	1718764	5	6
21601387	1718789	5	6
21601387	1718854	4	5
21601387	1718858	4	5
21601387	1718863	5	6
21601387	1718865	5	6
21601387	1734247	4	5
21601387	1734285	5	6
21601387	1734287	5	6
21601387	1734412	4	5
21601387	1734413	5	6
21601387	1734431	4	4
21601387	1734434	5	6
21601387	1734438	4	5
21601387	1734440	4	4
21601387	1734583	4	4
21601387	1734586	5	6
21601387	1734727	5	6
21601387	1734728	4	4
21601387	1735002	4	4
21601387	1735005	4	5
21601387	1735006	5	6
21601387	1735015	4	4
21601387	1735016	5	6
21601387	1735080	3	3
21601387	1735092	5	6
21601387	1735093	4	4
21601387	1735194	5	6
21601387	1735197	4	4
21601387	1735325	5	6
21601387	1735541	4	4
21601387	1735548	4	5
21601387	1735549	5	6
21601387	1735555	4	4
21601387	1735558	4	5
21601387	1735567	4	4
21601387	1735576	5	6
21601387	1735587	4	4
21601387	1735589	4	4
21601387	1735602	4	5
21601387	1735603	5	6
21601387	1735696	6	7
21601387	1735884	5	6
21601387	1758860	4	5
21601387	1759008	5	6
21601387	1759009	4	4
21601387	1829792	6	6
21601387	1830130	6	8
21601387	1830134	6	8
21601387	1830136	6	8
21601387	1830460	4	4
21601387	1830514	6	8
21601387	1830614	6	6
21601387	1830616	4	5
21601387	1830620	6	8
21601387	1830621	4	4
21601387	1830624	6	8
21601387	1830645	6	8
21601387	1830647	6	8
21601387	1830649	6	6
21601387	1830683	5	5
21601387	1830691	4	4
21601387	1830719	6	8
21601387	1830861	6	8
21601387	1830907	6	6
21601387	1830915	6	7
21601387	1830917	4	4
21601387	1831635	6	8
21601387	1831648	5	5
21601387	1831744	6	7
21601387	1831789	6	8
21601387	1831833	6	8
21601387	1832325	6	7
21601387	1832326	6	7
21601387	1832327	6	7
21601387	1832379	6	6
21601387	1832547	6	7
21601387	1832549	6	7
21601387	1832643	6	7
21601387	1832644	6	7
21601387	1832649	6	6
21601387	1833036	6	8
21601387	1833037	6	8
21601387	1970967	6	8
21601387	1970970	6	8
21601387	1971126	6	8
21601387	1971240	6	7
21601387	1971309	6	6
21601387	1971311	6	6
21601387	1971788	6	8
21601387	1971791	6	8
21601387	1971794	6	8
21601387	1972011	6	8
21601387	1972543	6	8
21601387	1972568	6	6
21601387	1972998	6	6
21601387	1973090	6	6
21601387	2009504	6	7
21601387	2009563	5	6
21601387	2009645	5	6
21601387	2009693	6	6
21601387	2009697	6	7
21601387	2010838	5	5
21601387	2011430	5	6
21601387	2012751	6	7
21601387	2012918	6	7
21601387	2012920	6	7
21601387	2013040	6	6
21601387	2013326	5	6
21601387	2013328	5	6
21601387	2013331	4	4
21601387	2013333	4	4
21601387	2013335	6	7
21601387	2013336	5	6
21601387	2013337	6	7
21601387	2022121	4	4
21601387	2025898	6	7
21601387	2025907	6	7
21601387	2025917	6	7
21601387	2026169	6	7
21601387	2026170	6	7
21601387	2026182	6	7
21601387	2026310	6	7
21601387	2026315	6	7
21601387	2026323	6	7
21601387	2026324	6	7
21601387	2026325	6	7
21601387	2026329	6	7
21601387	2026338	5	6
21601387	2026346	6	7
21601387	2026353	5	5
21601387	2026358	6	7
21601387	2026359	6	7
21601387	2026393	6	7
21601387	2026422	6	6
21601387	2026429	6	7
21601387	2026488	6	6
21601387	2026517	6	7
21601387	2026549	6	7
21601387	2026556	6	7
21601387	2026564	6	7
21601387	2026574	6	7
21601387	2026575	6	7
21601387	2026577	6	7
21601387	2026804	6	7
21601387	2026810	5	6
21601387	2026811	5	6
21601387	2026819	5	5
21601387	2026822	6	6
21601387	2026854	6	6
21601387	2026861	6	7
21601387	2026862	6	7
21601387	2026919	6	7
21601387	2026920	6	7
21601387	2026928	5	6
21601387	2026993	6	6
21601387	2026994	6	6
21601387	2026995	6	6
21601387	2026997	5	5
21601387	2027013	5	6
21601387	2027135	5	6
21601387	2027219	6	7
21601387	2027329	6	7
21601387	2027330	6	7
21601387	2027345	6	6
21601387	2027399	6	6
21601387	2027423	6	6
21601387	2027426	6	6
21601387	2027434	5	6
21601387	2027437	6	7
21601387	2027439	6	7
21601387	2027820	5	6
21601387	2028248	6	7
21601387	2028265	6	6
21601387	2028272	6	6
21601387	2028276	6	6
21601387	2028341	6	7
21601387	2028344	6	7
21601387	2028348	6	7
21601387	2028350	6	7
21601387	2028357	6	7
21601387	2028360	6	7
21601387	2028361	6	6
21601387	2028362	6	6
21601387	2028428	6	7
21601387	2028442	6	7
21601387	2028544	5	6
21601387	2028643	6	7
21601387	2028699	5	6
21601387	2028700	5	6
21601387	2028702	5	6
21601387	2029059	6	7
21601387	2029063	6	7
21601387	2029064	5	6
21601387	2029066	5	6
21601387	2029068	6	7
21601387	2029069	5	6
21601387	2029071	5	6
21601387	2029072	6	7
21601387	2029077	6	7
21601387	2029553	6	6
21601387	2029560	6	6
21601387	2029566	5	5
21601387	2029633	6	7
21601387	2029634	6	7
21601387	2029638	6	7
21601387	2030066	5	6
21601387	2032146	6	7
21601387	2032148	6	7
21601387	2032151	6	7
21601387	2032153	5	6
21601387	2032160	5	6
21601387	2032166	6	7
21601387	2033269	5	6
21601387	2033454	6	7
21601387	2033455	5	6
21601387	2033457	5	6
21601387	2033474	5	6
21601387	2033475	6	7
21601387	2033476	5	6
21601387	2033479	6	7
21601387	2034348	6	7
21601387	2034355	6	7
21601387	2035937	6	7
21601387	2036904	6	6
21601387	2036907	5	5
21601387	2036909	5	5
21601387	2036910	6	6
21601387	2036915	5	5
21601387	2036919	5	5
21601387	2036920	6	6
21601387	2036923	5	5
