concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
37169738,Malignant melanoma of skin of left lower eyelid,Condition,SNOMED,Disorder,S,16905221000119105,20230731,20991231,
37169739,Malignant melanoma of skin of left upper eyelid,Condition,SNOMED,Disorder,S,16905261000119100,20230731,20991231,
37169740,Malignant melanoma of skin of right upper eyelid,Condition,SNOMED,Disorder,S,16905301000119108,20230731,20991231,
37169741,Melanoma in situ of left lower eyelid,Condition,SNOMED,Disorder,S,16907161000119103,20220430,20991231,
37169742,Melanoma in situ of right lower eyelid,Condition,SNOMED,Disorder,S,16907241000119105,20220430,20991231,
37169847,Squamous cell carcinoma of sphenoidal sinus,Condition,SNOMED,Disorder,S,1255660002,20221130,20991231,
37169849,Primary carcinoma of pyloric antrum,Condition,SNOMED,Disorder,S,1259353006,20221231,20991231,
37169984,Primary malignant atypical teratoid rhabdoid neoplasm of central nervous system,Condition,SNOMED,Disorder,S,112691000112107,20230331,20991231,
37171434,Malignant melanoma of skin of right ear,Condition,SNOMED,Disorder,S,351971000119103,20230731,20991231,
37171435,Malignant melanoma of skin of right hip,Condition,SNOMED,Disorder,S,351991000119102,20230731,20991231,
37171437,Malignant melanoma of skin of right shoulder,Condition,SNOMED,Disorder,S,352011000119102,20230731,20991231,
37171438,Malignant melanoma of skin of left hip,Condition,SNOMED,Disorder,S,352031000119107,20230731,20991231,
37171440,Malignant melanoma of skin of left shoulder,Condition,SNOMED,Disorder,S,352151000119102,20230731,20991231,
37171441,Malignant melanoma of skin of left ear,Condition,SNOMED,Disorder,S,352211000119108,20230731,20991231,
37171443,Primary malignant neoplasm of left descended testis,Condition,SNOMED,Disorder,S,352551000119106,20220430,20991231,
37171444,Primary malignant neoplasm of undescended left testis,Condition,SNOMED,Disorder,S,352571000119102,20230731,20991231,
37171445,Primary malignant neoplasm of right descended testis,Condition,SNOMED,Disorder,S,352581000119104,20220430,20991231,
37171446,Primary malignant neoplasm of undescended right testis,Condition,SNOMED,Disorder,S,352601000119108,20230731,20991231,
