TEST_NAME,RESULT_UOM_NM,count
LYMPHS (LYMPHOCYTES | CDR EHS HEM LRR),%,158
ANEUTS (NEUTROPHIL NO. | CDR EHS HEM LRR),10^3/uL,158
RDW (RDW | CDR EHS HEM LRR),%,158
PLT (PLATELET COUNT | CDR EHS HEM LRR),10^3/uL,158
RBC (RBC COUNT | CDR EHS HEM LRR),10^6/uL,158
WBC (WBC COUNT | CDR EHS HEM LRR),10^3/uL,158
MCHC (MCHC | CDR EHS HEM LRR),g/dl,158
ABANDS (ABSOLUTE BANDS),K/UL,153
B2M (BETA 2 MICROGLOBULIN),mg/L,144
"PSAULT (PROSTATE SPECIFIC AG, ULTRA-SENSITV | CDR MRMC LAB LRR)",ng/mL,137
ABASOS (BASOPHIL NO. | CDR EHS HEM LRR),10^3/uL,131
AEOS (EOSINOPHIL NO. | CDR EHS HEM LRR),10^3/uL,131
BASOS (BASOPHILS | CDR EHS HEM LRR),%,131
EOS (EOSINOPHILS | CDR EHS HEM LRR),%,131
PSA (PSA SCREEN),ng/mL,127
FTES (FREE TESTOSTERONE),ng/dL,123
PROMYELO,%,123
ATYPS (REACTIVE LYMPHS),%,121
"125OH2VITD3 (1,25 (OH)2 VITAMIN D)",pg/mL,121
BUN (BUN | CDR SSHCC LAB LRR),mg/dL,114
CRE (CREATININE | CDR SSHCC LAB LRR),mg/dL,114
WBCCMICRO (WBC CLUMPS),/hpf,113
"HBSAB (HBS ANTIBODY,QUANT)",mIU/mL,113
PTH (PARATHYROID HORMONE),pg/mL,112
CL (CHLORIDE | CDR SSHCC LAB LRR),mEq/L,111
CO2 (CO2 | CDR SSHCC LAB LRR),mEq/L,111
CA (CALCIUM | CDR SSHCC LAB LRR),mg/dL,111
K (POTASSIUM | CDR SSHCC LAB LRR),mEq/L,111
SODIUM | CDR SSHCC LAB LRR,mEq/L,111
GLU (GLUCOSE | CDR SSHCC LAB LRR),mg/dL,111
TES (TESTOSTERONE LEVEL | CDR MRMC LAB LRR),ng/dL,110
GFR (EGFR (MDRD) | CDR SSHCC LAB LRR),ml/min,109
NTBNP (NT-PROBNP),pg/mL,109
TP (TOTAL PROTEIN | CDR SSHCC LAB LRR),g/dL,108
ALB (ALBUMIN | CDR SSHCC LAB LRR),g/dL,108
ALKP (ALKALINE PHOSPHATASE | CDR SSHCC LAB LRR),U/L,108
HAP (HAPTOGLOBIN),mg/dL,108
TBILI (TOTAL BILIRUBIN | CDR SSHCC LAB LRR),mg/dL,108
URBC (RBC),/hpf,107
IGG (QUANTITATIVE IGG (ADULT)),mg/dL,107
PROMABS (ABS PROMYELOCYTES),K/uL,107
UWBC (WBC),/hpf,107
MAMONO (ABSOLUTE MONOS),K/uL,106
MALYM (ABSOLUTE LYMPHS),K/uL,106
DMANUT (ABSOLUTE NEUTS),K/uL,106
AEOSM (ABSOLUTE EOS),K/uL,106
ABLST (ABSOLUTE BLASTS),K/uL,105
MABASO (ABSOLUTE BASO),K/uL,105
GLOB (GLOBULIN | CDR SSHCC LAB LRR),g/dL,105
SGPT (ALT | CDR SSHCC LAB LRR),U/L,105
SGOT (AST | CDR SSHCC LAB LRR),U/L,105
AGRTO (A/G RATIO | CDR SSHCC LAB LRR),Ratio,105
HGBEQU (RETIC HGB EQUIV),pg,101
TIBC (TOT IRON BINDING CAP),ug/dL,101
"HSCRP (CRP, HIGH SENSITIVITY)",mg/L,100
B2MIC (BETA 2 MICROGLOBIN),mg/L,99
GRMALB (URINE MICROALBUMIN),mg/dL,98
MALBCRE (MALB/CRE),mg/Alb/g Cre,98
UIBCU (UIBC),ug/dL,95
METAS,%,95
FSH,IU/L,95
CHRMGA (CHROMOGRANIN A),ng/mL,94
PSAT (PSA SCREEN),ng/mL,92
"BUN (BUN, UREA NITROGEN BLOOD)",mg/dL,90
UTVOL (URINE VOLUME),mL,89
TEST (TESTOSTERONE [BLOOD]),ng/dL,87
25HVITD2 (25 OH VIT D2),ng/mL,86
25VITD (25 OH VIT D3),ng/mL,86
OTHERS (OTHER CELLS),%,86
OTHCELLS (ABSOLUTE OTHER CELLS),K/uL,85
MG (MAGNESIUM LEVEL | CDR MRMC LAB LRR),mg/dL,85
"TP (PROTEIN, TOTAL)",g/dL,84
CORT (CORTISOL),ug/dL,84
SGPT (ALT/SGPT),U/L,84
MCV (MEAN CORPUSCULAR VOLUME | CDR MRMC HEM LRR),fL,84
UCRE (UR CREATININE),mg/dL,83
GFR (GLOMERULAR FILTRATION RATE ML/MIN/1.73 SQ M.PREDICTED),mL/min/1.73m*2,82
PTT (aPTT),sec,82
CL (CHLORIDE (MMOL/L) IN SER/PLAS),mmol/L,82
CMVDNAIU (CMV VIRAL LOAD),IU/mL,82
BUN (UREA NITROGEN (MG/DL) IN SER/PLAS),mg/dL,82
ANION (ANION GAP IN SER/PLAS),mmol/L,82
ALTP5P (ALT),U/L,80
"TBILI (BILIRUBIN, TOTAL)",mg/dL,80
ALYMPH (LYMPHOCYTE #),X10 3/uL,79
AMONO (MONOCYTES #),X10 3/uL,79
UMUC (Mucus),/hpf,79
MAMONO (ABSOLUTE MONOS),K/UL,78
DMANUT (ABSOLUTE NEUTS),K/UL,78
MALYM (ABSOLUTE LYMPHS),K/UL,78
AATYP (ABS REACTIVE LYMPHS),K/UL,77
AMETAS (ABSOLUTE METAS),K/UL,76
IGM (QUANTITATIVE IGM (ADULT)),mg/dL,76
INS (INSULIN),mcIU/mL,74
MABASO (ABSOLUTE BASO),K/UL,72
HCT (HEMATOCRIT | CDR SSHCC HEM LRR),%,71
RETCA (RETIC (ABSOLUTE)),M/uL,71
CMVDNAC (CMV VIRAL LOAD LOG 10),log IU/mL,71
HGB (HEMOGLOBIN | CDR SSHCC HEM LRR),g/dL,71
IGA (QUANTITATIVE IGA (ADULT)),mg/dL,71
DFPLTE (PLATELET ESTIMATE),K/UL,71
AEOSM (ABSOLUTE EOS),K/UL,70
DFIBC (TOTAL IRON BINDING CAPACITY),ug/dL,70
CLDL (CALCULATED LDL),mg/dL,70
CORT (CORTISOL),ug/dl,69
UNA (URINE SODIUM),mmol/L,69
AMONOS (ABSOLUTE MONOCYTES (CBC) | CDR MRMC HEM LRR),10*3uL,68
ERYPOI (ERYTHROPOIETIN),mIU/mL,67
ESRB (ESR),mm/h,66
MVP (MPV | CDR SSHCC HEM LRR),fL,65
FSPDD (D-DIMER),ng/mL,65
RDW (RDW | CDR SSHCC HEM LRR),%,65
MCHC (MCHC | CDR SSHCC HEM LRR),g/dL,65
PLT (PLATELET COUNT | CDR SSHCC HEM LRR),K/ul,65
WBC (WBC COUNT | CDR SSHCC HEM LRR),K/uL,65
MCH (MCH | CDR SSHCC HEM LRR),pg,65
PSA (PSA | CDR SSHCC LAB LRR),ng/ml,65
RBC (RBC COUNT | CDR SSHCC HEM LRR),M/uL,65
MCV (MCV | CDR SSHCC HEM LRR),fL,65
VCRE (URINE CREATININE),mg/dL,63
HCAST (HYALINE CAST),/LPF,63
CYSTATC (CYSTATIN C),mg/L,63
GFRCYSTATINC (EGFR (CYSTATIN C)),mL/min/1.73m2,62
NRBCMAN (NUCLEATED RBC MANUAL),/100 WBCs,62
PRL (PROLACTIN),ng/mL,61
PHOS (PHOSPHORUS | CDR EHS LAB LRR),mg/dL,60
UTIME (COLLECTION PERIOD),hrs,60
LYMP (LYMPHOCYTE % (MANUAL)),%,59
ANEUT (NEUTROPHILS # (MANUAL)),X10 3/uL,59
MON (MONOCYTES % (MANUAL)),%,59
POLYM (NEUTROPHILS % (MANUAL)),%,59
"TUTP (PROTEIN, URINE)",mg/24 h,58
"EBVQU1 (EBV BLOOD, PCR)",IU/mL,58
TRF (TRANSFERRIN),mg/dL,57
UALBEP (ALBUMIN),%,57
PGLU (RAPID GLUCOSE),mg/dL,57
VISCS1 (VISCOSITY),CENTIPOISES,56
ABASOS (BASOPHILS (#) | CDR SSHCC HEM LRR),K/uL,54
LYMPHS (LYMPHOCYTES (%) | CDR SSHCC HEM LRR),%,54
POLYS (NEUTROPHILS (%) | CDR SSHCC HEM LRR),%,54
ANEUTS (NEUTROPHIL (#) | CDR SSHCC HEM LRR),K/uL,54
ALYMPHS (LYMPHOCYTES (#) | CDR SSHCC HEM LRR),K/uL,54
TUGAMM (GAMMA-GLOBULIN),%,54
AEOS (EOSINOPHILS (#) | CDR SSHCC HEM LRR),K/uL,54
MONOS (MONOCYTES (%) | CDR SSHCC HEM LRR),%,54
EOS (EOSINOPHILS (%) | CDR SSHCC HEM LRR),%,54
SHBG (SEX HORMONE BIND GLOB),nmol/L,54
AMONOS (MONOCYTES (#) | CDR SSHCC HEM LRR),K/uL,54
BASOS (BASOPHILS (%) | CDR SSHCC HEM LRR),%,54
UALPH2EP (ALPHA 2-GLOBULIN),%,54
UALP1EP (ALPHA 1-GLOBULIN),%,54
UBETAEP (BETA-GLOBULIN),%,54
IMMGRAN (IMMATURE GRANULOCYTES # | CDR SSHCC HEM LRR),K/ul,54
IMMGRANPCT (IMMATURE GRANULOCYTES % | CDR SSHCC HEM LRR),%,54
META (METAMYELOCYTES % (MANUAL)),%,53
"EST (ESTRADIOL, S)",pg/mL,52
PACIDP (PROSTATIC ACID PHOS),ng/mL,52
MVD25H (25 OH VITAMIN D),ng/mL,52
PSA,ng/mL,52
GFR (GFR (ESTIMATED)),ml/min,52
DHEA,ng/mL,52
"TES (TESTOSTERONE,TOTAL)",ng/dl,51
SODIUM,mEq/L,51
ANDROS (DIHYDROTESTOSTERONE),pg/mL,51
K (POTASSIUM),mEq/L,51
ANDRO (ANDROSTENEDIONE),ng/dL,51
CL (CHLORIDE),mEq/L,51
AGRTO (A/G RATIO),Ratio,50
AST,U/L,50
CO2,mEq/L,50
PSA (PSA SCREENING (OLD)),ng/mL,50
"FE (IRON, SERUM)",ug/dL,49
TES (TESTOSTERONE | CDR SSHCC LAB LRR),NG/DL,49
