SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
DFCI,3013115,Eosinophils [#/volume] in Blood,26449-9,LOINC,Measurement,S,8961,thousand per cubic millimeter,10*3/mm3,UCUM,Unit,S,6891,3309643,0.2082,2533,209253,1.2105,9/22/2025
DFCI,3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,2484-4,LOINC,Measurement,S,0,(NULL/0),,,,,11,5215,0.2109,9,2847,0.3161,9/22/2025
JH,3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,2484-4,LOINC,Measurement,S,0,(NULL/0),,,,,2,1934,0.1034,2,1152,0.1736,9/19/2025
FH,3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,2484-4,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,4,2902,0.1378,4,1533,0.2609,9/19/2025
DFCI,3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,2484-4,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,5204,5215,99.7891,2843,2847,99.8595,9/22/2025
JH,3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,2484-4,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,1932,1934,99.8966,1151,1152,99.9132,9/19/2025
FH,3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,2484-4,LOINC,Measurement,S,8842,nanogram per milliliter,ng/mL,UCUM,Unit,S,2897,2902,99.8277,1531,1533,99.8695,9/19/2025
FH,3013273,Insulin-like growth factor-I [Mass/volume] in Serum or Plasma,2484-4,LOINC,Measurement,S,8845,picogram per milliliter,pg/mL,UCUM,Unit,S,1,2902,0.0345,1,1533,0.0652,9/19/2025
JH,3013290,Carbon dioxide [Partial pressure] in Blood,11557-6,LOINC,Measurement,S,0,(NULL/0),,,,,506,506,100,34,34,100,9/19/2025
DFCI,3013290,Carbon dioxide [Partial pressure] in Blood,11557-6,LOINC,Measurement,S,8876,millimeter mercury column,mm[Hg],UCUM,Unit,S,3290,3290,100,912,912,100,9/22/2025
DFCI,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,0,(NULL/0),,,,,220,245378,0.0897,164,31960,0.5131,9/22/2025
JH,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,0,(NULL/0),,,,,157,65912,0.2382,151,24367,0.6197,9/19/2025
FH,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,15812,1286334,1.2292,7083,116177,6.0967,9/19/2025
FH,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,11,1286334,0.0009,11,116177,0.0095,9/19/2025
DFCI,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,8784,cells per microliter,{cells}/uL,UCUM,Unit,S,9393,245378,3.828,2355,31960,7.3686,9/22/2025
JH,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,8784,cells per microliter,{cells}/uL,UCUM,Unit,S,19359,65912,29.371,7944,24367,32.6015,9/19/2025
DFCI,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,224349,245378,91.43,28392,31960,88.836,9/22/2025
JH,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,46392,65912,70.3848,17472,24367,71.7035,9/19/2025
FH,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,1270511,1286334,98.7699,115741,116177,99.6247,9/19/2025
DFCI,3013429,Basophils [#/volume] in Blood by Automated count,704-7,LOINC,Measurement,S,8961,thousand per cubic millimeter,10*3/mm3,UCUM,Unit,S,11416,245378,4.6524,3869,31960,12.1058,9/22/2025
