SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,9446,billion per microliter,10*9/uL,UCUM,Unit,S,3,5081621,0.0001,3,229455,0.0013,12/19/2025
DFCI,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,0,(NULL/0),,,,,24854,5070294,0.4902,14922,229569,6.5,12/19/2025
JHU,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,1471,3086018,0.0477,1167,152795,0.7638,12/16/2025
DFCI,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,8519,liter,L,UCUM,Unit,S,1,5070294,0,1,229569,0.0004,12/19/2025
DFCI,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,8554,percent,%,UCUM,Unit,S,7,5070294,0.0001,7,229569,0.003,12/19/2025
DFCI,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,8636,gram per liter,g/L,UCUM,Unit,S,1525,5070294,0.0301,446,229569,0.1943,12/19/2025
DFCI,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,8713,gram per deciliter,g/dL,UCUM,Unit,S,5043904,5070294,99.4795,229325,229569,99.8937,12/19/2025
JHU,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,8713,gram per deciliter,g/dL,UCUM,Unit,S,3084547,3086018,99.9523,152784,152795,99.9928,12/16/2025
MSK,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,8713,gram per deciliter,g/dL,UCUM,Unit,S,5274041,5274041,100,230578,230578,100,2/12/2026
DFCI,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,1,5070294,0,1,229569,0.0004,12/19/2025
DFCI,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,1,5070294,0,1,229569,0.0004,12/19/2025
DFCI,3000963,Hemoglobin [Mass/volume] in Blood,718-7,LOINC,Measurement,S,44777568,unit per deciliter,[U]/dL,UCUM,Unit,S,1,5070294,0,1,229569,0.0004,12/19/2025
DFCI,3001604,Monocytes [#/volume] in Blood,26484-6,LOINC,Measurement,S,0,(NULL/0),,,,,247798,3586313,6.9095,38651,202531,19.084,12/19/2025
DFCI,3001604,Monocytes [#/volume] in Blood,26484-6,LOINC,Measurement,S,8784,cells per microliter,{cells}/uL,UCUM,Unit,S,6,3586313,0.0002,6,202531,0.003,12/19/2025
DFCI,3001604,Monocytes [#/volume] in Blood,26484-6,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,3332272,3586313,92.9164,198721,202531,98.1188,12/19/2025
