ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
443392	37167588	3	4
443392	37166363	4	8
443392	193429	2	5
443392	4116240	2	7
443392	606404	3	4
443392	36716855	2	4
443392	764229	2	3
443392	258981	3	4
443392	4309817	4	7
443392	37017243	2	7
443392	37397555	4	6
443392	37166326	5	6
443392	4089530	5	5
443392	37165803	3	5
443392	4169288	4	7
443392	4188975	4	5
443392	37166551	3	9
443392	37166283	4	5
443392	4289677	3	4
443392	4110167	4	4
443392	45771284	2	2
443392	37166323	3	4
443392	37165786	4	6
443392	37167521	3	7
443392	602695	5	8
443392	37166669	4	5
443392	609240	4	7
443392	618675	5	7
443392	4030667	3	5
443392	4112854	3	3
443392	4082460	4	4
443392	4180788	6	7
443392	4003029	3	4
443392	609232	7	8
443392	608890	3	8
443392	37166630	4	6
443392	37166678	4	6
443392	37166250	4	6
443392	37166564	4	4
443392	37160408	4	5
443392	607985	5	6
443392	4116087	3	5
443392	37166991	3	3
443392	4301662	7	9
443392	4158977	4	4
443392	37165442	3	8
443392	4095602	4	4
443392	4111005	4	5
443392	4264693	1	1
443392	603115	4	5
443392	37166993	1	1
443392	605185	3	9
443392	37166986	4	4
443392	37167626	4	8
443392	37165768	2	5
443392	36684463	6	7
443392	37166183	3	6
443392	4116220	3	3
443392	4095304	4	7
443392	4083496	3	4
443392	4258703	4	7
443392	4112872	3	5
443392	37166575	6	7
443392	4312676	4	5
443392	37162734	5	6
443392	45765770	7	7
443392	37165672	2	4
443392	35610331	4	4
443392	602663	3	7
443392	36715854	4	6
443392	4110571	3	6
443392	37168383	4	4
443392	37116670	4	6
443392	37166773	4	6
443392	759940	3	6
443392	4244488	3	7
443392	4095430	3	9
443392	37166439	2	5
443392	36715865	3	6
443392	37166760	4	6
443392	4174891	4	5
443392	4193165	3	8
443392	602023	3	5
443392	37166310	4	5
443392	24296	3	6
443392	37167602	3	8
443392	37166618	4	5
443392	37395650	4	7
443392	37166295	3	4
443392	37160007	5	6
443392	37016197	2	4
443392	37165587	4	7
443392	37110269	3	5
443392	37165792	5	7
443392	37165856	4	6
443392	4112605	3	6
443392	36717622	3	7
443392	37166591	3	5
443392	4173976	7	8
443392	37166734	5	8
443392	602001	5	7
443392	36717461	3	3
443392	37166735	4	6
443392	4003694	3	4
443392	37166311	3	6
443392	605443	5	8
443392	4246246	4	5
443392	37166296	3	3
443392	192270	2	4
443392	4038838	3	3
443392	79740	4	7
443392	37171443	6	7
443392	36715590	2	2
443392	37166979	5	6
443392	605461	4	7
443392	36715835	4	7
443392	45768982	5	9
443392	36716610	4	9
443392	135764	5	9
443392	37166260	5	7
443392	37166777	4	7
443392	4247851	5	6
443392	37166188	5	7
443392	4311497	4	6
443392	37118768	2	3
443392	4115293	4	5
443392	40486637	4	8
443392	37166355	4	6
443392	198088	4	7
443392	37166632	3	4
443392	36717261	4	6
443392	36687125	6	7
