concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
35783808	45 ML Carboplatin 10 MG/ML Prefilled Syringe by Sun	Drug	RxNorm Extension	Marketed Product	S	OMOP2785269	20170824	20991231	
35783809	45 ML Carboplatin 10 MG/ML Prefilled Syringe [Paraplatin] by Bristol Myers Squibb	Drug	RxNorm Extension	Marketed Product	S	OMOP2785270	20170824	20991231	
35783810	45 ML Carboplatin 10 MG/ML Prefilled Syringe Box of 1 by A A H	Drug	RxNorm Extension	Marketed Product	S	OMOP2785271	20170824	20991231	
35783811	45 ML Carboplatin 10 MG/ML Injectable Solution Box of 1 by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP2785272	20170824	20991231	
35783812	45 ML Carboplatin 10 MG/ML Prefilled Syringe by Wockhardt	Drug	RxNorm Extension	Marketed Product	S	OMOP2785273	20170824	20991231	
35783813	45 ML Carboplatin 10 MG/ML Prefilled Syringe by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP2785274	20170824	20991231	
35783913	50 ML Cisplatin 1 MG/ML Prefilled Syringe by A A H	Drug	RxNorm Extension	Marketed Product	S	OMOP2785374	20170824	20991231	
35783914	50 ML Cisplatin 1 MG/ML Injectable Solution by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP2785375	20170824	20991231	
35784031	50 ML Cisplatin 1 MG/ML Injectable Solution [Platinex] Box of 1 by Bristol Myers Squibb	Drug	RxNorm Extension	Marketed Product	S	OMOP2785492	20170824	20991231	
35784032	50 ML Cisplatin 1 MG/ML Prefilled Syringe Box of 1 by Alliance	Drug	RxNorm Extension	Marketed Product	S	OMOP2785493	20170824	20991231	
35784033	50 ML Cisplatin 1 MG/ML Prefilled Syringe by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP2785494	20170824	20991231	
35784034	50 ML Cisplatin 1 MG/ML Injectable Solution by A A H	Drug	RxNorm Extension	Marketed Product	S	OMOP2785495	20170824	20991231	
35784035	50 ML Cisplatin 1 MG/ML Injectable Solution by Alliance	Drug	RxNorm Extension	Marketed Product	S	OMOP2785496	20170824	20991231	
35784036	50 ML Cisplatin 1 MG/ML Prefilled Syringe by Hospira	Drug	RxNorm Extension	Marketed Product	S	OMOP2785497	20170824	20991231	
35784105	50 ML Cisplatin 1 MG/ML Injectable Solution [Platinex]	Drug	RxNorm Extension	Quant Branded Drug	S	OMOP2785566	20170824	20991231	
35784159	50 ML Cisplatin 1 MG/ML Injectable Solution Box of 1 by Wockhardt	Drug	RxNorm Extension	Marketed Product	S	OMOP2785620	20170824	20991231	
35784160	50 ML Cisplatin 1 MG/ML Injectable Solution Box of 1 by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP2785621	20170824	20991231	
35784161	50 ML Cisplatin 1 MG/ML Prefilled Syringe Box of 1 by TEVA	Drug	RxNorm Extension	Marketed Product	S	OMOP2785622	20170824	20991231	
